GST Id,Date,State Name,State Code,CGST,SGST,IGST,CESS,Total_GST,Year,Month,Region_type
319,01-03-2018,The Dadra And Nagar Haveli And Daman And Diu,38,20.85,31.48,214.44,0.35,267.12,2018-01-01,1900-03-01,State
320,01-03-2018,Tripura,16,15.22,22.74,7.31,0.15,45.42,2018-01-01,1900-03-01,State
321,01-03-2018,Uttar Pradesh,9,989.8,1515.66,1338.53,939.08,4783.07,2018-01-01,1900-03-01,State
322,01-03-2018,Uttarakhand,5,162.29,303.4,777.71,21.04,1264.44,2018-01-01,1900-03-01,State
323,01-03-2018,West Bengal,19,1199.19,1494.35,765.23,297.05,3755.82,2018-01-01,1900-03-01,State
324,01-04-2018,Andaman And Nicobar Islands,35,21.27,27.06,1.69,0.03,50.05,2018-01-01,1900-04-01,Union Territory
325,01-04-2018,Andhra Pradesh,28,529.43,812.46,883.39,25.89,2251.1699999999996,2018-01-01,1900-04-01,State
326,01-04-2018,Arunachal Pradesh,12,12.86,16.53,3.24,0.52,33.150000000000006,2018-01-01,1900-04-01,State
327,01-04-2018,Assam,18,172.48,276.88,176.89,52.97,679.22,2018-01-01,1900-04-01,State
328,01-04-2018,Bihar,10,205.91,425.05,108.9,173.69,913.55,2018-01-01,1900-04-01,State
329,01-04-2018,Cbic,98,0.0,0.0,40.36,0.0,40.36,2018-01-01,1900-04-01,State
330,01-04-2018,Chandigarh,4,33.67,46.39,101.44,0.23,181.73,2018-01-01,1900-04-01,Union Territory
331,01-04-2018,Chhattisgarh,22,338.43,415.64,633.35,502.24,1889.66,2018-01-01,1900-04-01,State
332,01-04-2018,Delhi,7,1104.77,1331.57,1682.85,78.81,4198.000000000001,2018-01-01,1900-04-01,Union Territory
333,01-04-2018,Goa,30,89.39,122.13,137.47,3.48,352.47,2018-01-01,1900-04-01,State
334,01-04-2018,Gujarat,24,1701.28,2133.4,2190.05,303.9,6328.63,2018-01-01,1900-04-01,State
335,01-04-2018,Haryana,6,713.35,1100.32,2982.04,334.22,5129.93,2018-01-01,1900-04-01,State
336,01-04-2018,Himachal Pradesh,2,88.97,135.99,420.82,1.48,647.26,2018-01-01,1900-04-01,State
337,01-04-2018,Jammu And Kashmir,1,115.22,179.62,73.98,3.24,372.06000000000006,2018-01-01,1900-04-01,Union Territory
